ACTCMMID,C100_4,CITY,COSTT4_A,INSTNM,LATITUDE,LONGITUDE,SAT_AVG,SCHTYPE,STABBR,TRANS_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_MEN,UGDS_WHITE,UGDS_WOMEN,Year
24.0,0.3494,Springfield,23955.0,University of Illinois at Springfield,39.729524,-89.616796,1129.0,0.0,IL,0.0,11813.0,21338.0,2704.0,0.0022,0.0325,0.149,0.0928,0.5111,0.6509,0.4889,
23.0,0.2551,Carbondale,27945.0,Southern Illinois University-Carbondale,37.714193,-89.21727299999999,1124.0,0.0,IL,0.0,14704.0,29160.0,9447.0,0.0026,0.0198,0.1498,0.0928,0.545,0.6605,0.455,
24.0,0.259,Edwardsville,23065.0,Southern Illinois University-Edwardsville,38.793949,-89.99777900000001,1156.0,0.0,IL,0.3595,12132.0,12132.0,10786.0,0.0028,0.0234,0.1346,0.0464,0.4684,0.7299,0.5316,
22.0,0.5401,Palos Heights,41697.0,Trinity Christian College,41.667687,-87.783973,1088.0,1.0,IL,0.385,30175.0,30175.0,974.0,0.0021,0.0113,0.0873,0.1222,0.3275,0.5975,0.6725,
23.0,0.3758,Deerfield,44084.0,Trinity International University-Illinois,42.197945000000004,-87.880851,1095.0,1.0,IL,0.3503,32390.0,32390.0,699.0,0.0029,0.0315,0.166,0.0744,0.5694,0.5794,0.4306,
23.0,0.2609,Chicago,37568.0,VanderCook College of Music,41.836833,-87.629138,1186.0,1.0,IL,0.0,28434.0,28434.0,78.0,0.0,0.0256,0.0513,0.1795,0.5641,0.5,0.4359,
21.0,0.2819,Macomb,25686.0,Western Illinois University,40.468086,-90.686899,1037.0,0.0,IL,0.3881,12951.0,12951.0,6754.0,0.0009,0.0108,0.21100000000000002,0.1257,0.483,0.5902,0.517,
30.0,0.7739,Wheaton,47644.0,Wheaton College,41.870176,-88.099643,1340.0,1.0,IL,0.0955,36420.0,36420.0,2364.0,0.0013,0.0888,0.0283,0.0626,0.4497,0.7229,0.5503,
26.0,0.4541,Chicago,62010.0,School of the Art Institute of Chicago,41.88105,-87.62575799999999,1242.0,1.0,IL,0.1881,49610.0,49610.0,2889.0,0.0021,0.0952,0.035,0.1135,0.2471,0.3437,0.7529,2018
21.0,0.3793,Aurora,33781.0,Aurora University,41.753631,-88.349023,1062.0,1.0,IL,0.0,23520.0,23520.0,3912.0,0.0036,0.0222,0.0846,0.2991,0.3551,0.4985,0.6449,2018
21.0,0.4539,Carlinville,29509.0,Blackburn College,39.287896,-89.87024100000001,1041.0,1.0,IL,0.0,21992.0,21992.0,554.0,0.0036,0.009000000000000001,0.1119,0.0451,0.4332,0.7563,0.5668,2018
25.0,0.5089,Peoria,45148.0,Bradley University,40.696896,-89.616786,1212.0,1.0,IL,0.0,32930.0,32930.0,4643.0,0.0009,0.0353,0.0713,0.1023,0.4939,0.7323,0.5061,2018
19.0,0.0239,Chicago,21270.0,Chicago State University,41.718446,-87.60938399999999,946.0,0.0,IL,0.5047,10252.0,17212.0,2025.0,0.0035,0.003,0.7467,0.0775,0.3037,0.0395,0.6963,2018
34.0,0.8752,Chicago,72717.0,University of Chicago,41.787994,-87.59953900000001,1524.0,1.0,IL,0.0,56034.0,56034.0,6298.0,0.0013,0.184,0.053,0.1253,0.5102,0.4211,0.4898,2018
22.0,0.4548,River Forest,38850.0,Concordia University-Chicago,41.898696,-87.80948199999999,1100.0,1.0,IL,0.0,31588.0,31588.0,1405.0,0.0028,0.0263,0.1374,0.2982,0.4121,0.4648,0.5879,2018
21.0,0.3319,Charleston,23148.0,Eastern Illinois University,39.479843,-88.175658,1045.0,0.0,IL,0.3112,11678.0,13868.0,4877.0,0.0031,0.0123,0.2067,0.07400000000000001,0.4039,0.6301,0.5961,2018
23.0,0.5347,Elmhurst,44601.0,Elmhurst College,41.897164000000004,-87.945369,1141.0,1.0,IL,0.0,36370.0,36370.0,2782.0,0.0007,0.0496,0.0507,0.207,0.39399999999999996,0.628,0.606,2018
22.0,0.3899,Eureka,31338.0,Eureka College,40.71482,-89.269624,1084.0,1.0,IL,0.4528,25390.0,25390.0,605.0,0.0033,0.005,0.0661,0.0298,0.4959,0.8347,0.5041,2018
22.0,0.3587,Greenville,38083.0,Greenville University,38.894162,-89.40824,1067.0,1.0,IL,0.0,26356.0,26356.0,944.0,0.0042,0.0127,0.1356,0.0625,0.5064,0.6886,0.4936,2018
21.0,0.02,Skokie,28994.0,Hebrew Theological College,42.010103,-87.760874,1064.0,1.0,IL,0.5086,17630.0,17630.0,100.0,0.0,0.0,0.0,0.05,0.21,0.91,0.79,2018
23.0,0.2995,Chicago,25407.0,University of Illinois at Chicago,41.871837,-87.650503,1150.0,0.0,IL,0.0,13704.0,26560.0,19106.0,0.0006,0.2175,0.0798,0.3305,0.491,0.3008,0.509,2018
22.0,0.3397,Lisle,42641.0,Benedictine University,41.777569,-88.097307,1093.0,1.0,IL,0.0267,33900.0,33900.0,2864.0,0.0056,0.1512,0.0821,0.1697,0.4452,0.4392,0.5548,2018
29.0,0.7036,Champaign,30064.0,University of Illinois at Urbana-Champaign,40.104718,-88.229114,1376.0,0.0,IL,0.0,15074.0,31194.0,32884.0,0.0005,0.1846,0.0595,0.1133,0.5447,0.451,0.4553,2018
27.0,0.7132,Bloomington,56487.0,Illinois Wesleyan University,40.489901,-88.992014,1273.0,1.0,IL,0.0,45856.0,45856.0,1642.0,0.0,0.0572,0.0524,0.0822,0.4543,0.6924,0.5457,2018
28.0,0.3183,Chicago,60489.0,Illinois Institute of Technology,41.8313,-87.627321,1323.0,1.0,IL,0.0,45864.0,45864.0,2763.0,0.0011,0.1444,0.0608,0.165,0.6909,0.3435,0.3091,2018
24.0,0.4702,Normal,28197.0,Illinois State University,40.509403000000006,-88.99005799999999,1165.0,0.0,IL,0.0,14061.0,25168.0,18264.0,0.0016,0.0211,0.0861,0.10400000000000001,0.4477,0.7502,0.5523,2018
22.0,0.4345,Elgin,40043.0,Judson University,42.061754,-88.291336,1084.0,1.0,IL,0.3724,29434.0,29434.0,1037.0,0.0029,0.0212,0.0955,0.2276,0.4407,0.4744,0.5593,2018
24.0,0.4786,Romeoville,39361.0,Lewis University,41.605432,-88.079032,1161.0,1.0,IL,0.0,31250.0,31250.0,4372.0,0.0011,0.0441,0.0512,0.1974,0.4664,0.5876,0.5336,2018
21.0,0.2523,Lincoln,25597.0,Lincoln Christian University,40.148924,-89.346721,1036.0,1.0,IL,0.0317,13020.0,13020.0,440.0,0.0045,0.0045,0.0773,0.025,0.4932,0.825,0.5068,2018
17.0,0.069,Lincoln,29792.0,Lincoln College,40.155442,-89.36153,886.0,1.0,IL,0.5,18100.0,18100.0,1043.0,0.001,0.0038,0.442,0.0709,0.4545,0.4036,0.5455,2018
27.0,0.6907,Chicago,56178.0,Loyola University Chicago,42.000765,-87.65687199999999,1258.0,1.0,IL,0.0,43078.0,43078.0,11193.0,0.0013,0.1196,0.055,0.1564,0.3376,0.5532,0.6624,2018
20.0,0.408,Jacksonville,35135.0,MacMurray College,39.730918,-90.223986,1032.0,1.0,IL,0.0079,26100.0,26100.0,521.0,0.0058,0.0038,0.0921,0.071,0.45299999999999996,0.7639,0.547,2018
22.0,0.3719,Lebanon,41031.0,McKendree University,38.608154,-89.816822,1100.0,1.0,IL,0.0,29640.0,29640.0,2065.0,0.0034,0.0063,0.1317,0.0431,0.4547,0.6552,0.5453,2018
20.0,0.4167,Peoria,29263.0,Methodist College,40.7804,-89.682864,1005.0,1.0,IL,0.0,20750.0,20750.0,675.0,0.0089,0.0281,0.1052,0.0237,0.1215,0.7941,0.8785,2018
