INSTNM,STABBR,CITY,LATITUDE,LONGITUDE,SCHTYPE,C100_4,TRANS_4,SAT_AVG,ACTCMMID,UGDS,UGDS_WOMEN,UGDS_MEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,Year
Benedictine University,IL,Lisle,41.777569,-88.097307,1.0,0.3397,0.0267,1093.0,22.0,2864.0,0.5548,0.4452,0.4392,0.0821,0.1697,0.1512,0.0056,33900.0,33900.0,42641.0,2018
University of Illinois at Urbana-Champaign,IL,Champaign,40.104718,-88.229114,0.0,0.7036,0.0,1376.0,29.0,32884.0,0.4553,0.5447,0.451,0.0595,0.1133,0.1846,0.0005,15074.0,31194.0,30064.0,2018
Illinois Wesleyan University,IL,Bloomington,40.489901,-88.992014,1.0,0.7132,0.0,1273.0,27.0,1642.0,0.5457,0.4543,0.6924,0.0524,0.0822,0.0572,0.0,45856.0,45856.0,56487.0,2018
Illinois Institute of Technology,IL,Chicago,41.8313,-87.627321,1.0,0.3183,0.0,1323.0,28.0,2763.0,0.3091,0.6909,0.3435,0.0608,0.165,0.1444,0.0011,45864.0,45864.0,60489.0,2018
Illinois State University,IL,Normal,40.509403000000006,-88.99005799999999,0.0,0.4702,0.0,1165.0,24.0,18264.0,0.5523,0.4477,0.7502,0.0861,0.10400000000000001,0.0211,0.0016,14061.0,25168.0,28197.0,2018
Judson University,IL,Elgin,42.061754,-88.291336,1.0,0.4345,0.3724,1084.0,22.0,1037.0,0.5593,0.4407,0.4744,0.0955,0.2276,0.0212,0.0029,29434.0,29434.0,40043.0,2018
Lewis University,IL,Romeoville,41.605432,-88.079032,1.0,0.4786,0.0,1161.0,24.0,4372.0,0.5336,0.4664,0.5876,0.0512,0.1974,0.0441,0.0011,31250.0,31250.0,39361.0,2018
Lincoln Christian University,IL,Lincoln,40.148924,-89.346721,1.0,0.2523,0.0317,1036.0,21.0,440.0,0.5068,0.4932,0.825,0.0773,0.025,0.0045,0.0045,13020.0,13020.0,25597.0,2018
Lincoln College,IL,Lincoln,40.155442,-89.36153,1.0,0.069,0.5,886.0,17.0,1043.0,0.5455,0.4545,0.4036,0.442,0.0709,0.0038,0.001,18100.0,18100.0,29792.0,2018
Loyola University Chicago,IL,Chicago,42.000765,-87.65687199999999,1.0,0.6907,0.0,1258.0,27.0,11193.0,0.6624,0.3376,0.5532,0.055,0.1564,0.1196,0.0013,43078.0,43078.0,56178.0,2018
MacMurray College,IL,Jacksonville,39.730918,-90.223986,1.0,0.408,0.0079,1032.0,20.0,521.0,0.547,0.45299999999999996,0.7639,0.0921,0.071,0.0038,0.0058,26100.0,26100.0,35135.0,2018
McKendree University,IL,Lebanon,38.608154,-89.816822,1.0,0.3719,0.0,1100.0,22.0,2065.0,0.5453,0.4547,0.6552,0.1317,0.0431,0.0063,0.0034,29640.0,29640.0,41031.0,2018
Methodist College,IL,Peoria,40.7804,-89.682864,1.0,0.4167,0.0,1005.0,20.0,675.0,0.8785,0.1215,0.7941,0.1052,0.0237,0.0281,0.0089,20750.0,20750.0,29263.0,2018
Millikin University,IL,Decatur,39.842612,-88.976298,1.0,0.4826,0.0,1127.0,23.0,1883.0,0.5704,0.4296,0.6941,0.1466,0.068,0.0149,0.0011,33066.0,33066.0,44306.0,2018
Monmouth College,IL,Monmouth,40.914823999999996,-90.63731,1.0,0.5133,0.0,1115.0,23.0,1010.0,0.505,0.495,0.6267,0.1059,0.10300000000000001,0.0109,0.002,36400.0,36400.0,46442.0,2018
North Central College,IL,Naperville,41.77576,-88.14279,1.0,0.613,0.0,1200.0,25.0,2688.0,0.5469,0.4531,0.6507,0.0391,0.1503,0.0286,0.0015,37749.0,37749.0,48402.0,2018
North Park University,IL,Chicago,41.975268,-87.709948,1.0,0.3972,0.0,1086.0,22.0,2018.0,0.6303,0.3697,0.4128,0.0793,0.2701,0.0837,0.001,28620.0,28620.0,35735.0,2018
Northern Illinois University,IL,Dekalb,41.933869,-88.766428,0.0,0.207,0.0,1085.0,22.0,13430.0,0.4979,0.5021,0.5479,0.1578,0.1772,0.0538,0.0013,14350.0,23816.0,28557.0,2018
Northwestern University,IL,Evanston,42.050356,-87.679858,1.0,0.8429,0.0,1500.0,33.0,8489.0,0.505,0.495,0.4698,0.0597,0.1255,0.1695,0.0008,52678.0,52678.0,70317.0,2018
Northeastern Illinois University,IL,Chicago,41.980399,-87.718983,0.0,0.0361,0.3476,910.0,17.0,7014.0,0.5579,0.4421,0.28,0.1229,0.377,0.0874,0.002,10736.0,19792.0,23967.0,2018
Olivet Nazarene University,IL,Bourbonnais,41.155237,-87.875165,1.0,0.5469,0.0,1140.0,23.0,3356.0,0.5888,0.4112,0.7729,0.0849,0.0751,0.025,0.0024,34940.0,34940.0,44935.0,2018
Quincy University,IL,Quincy,39.938897999999995,-91.385975,1.0,0.3478,0.0,1082.0,22.0,898.0,0.4744,0.5256,0.6715,0.11800000000000001,0.0423,0.01,0.0033,27770.0,27770.0,39157.0,2018
Rockford University,IL,Rockford,42.270639,-89.019536,1.0,0.3902,0.0,1059.0,21.0,1018.0,0.557,0.44299999999999995,0.6228,0.0972,0.1513,0.0226,0.002,30050.0,30050.0,40559.0,2018
Roosevelt University,IL,Chicago,41.876055,-87.62495200000001,1.0,0.3088,0.4286,1119.0,23.0,2485.0,0.6322,0.3678,0.4374,0.16899999999999998,0.2503,0.0579,0.0036,28963.0,28963.0,43251.0,2018
Dominican University,IL,River Forest,41.902678,-87.823003,1.0,0.4662,0.2874,1124.0,23.0,2155.0,0.6705,0.3295,0.3336,0.0664,0.5104,0.0325,0.0014,32530.0,32530.0,40137.0,2018
University of St Francis,IL,Joliet,41.532225,-88.096057,1.0,0.4056,0.0,1126.0,23.0,1563.0,0.6539,0.3461,0.6238,0.0806,0.19899999999999998,0.0192,0.0026,31470.0,31470.0,39992.0,2018
Saint Xavier University,IL,Chicago,41.707198999999996,-87.714749,1.0,0.3436,0.37799999999999995,1066.0,21.0,2927.0,0.6406,0.3594,0.4117,0.1158,0.3779,0.0318,0.0014,33380.0,33380.0,38775.0,2018
University of Illinois at Springfield,IL,Springfield,39.729524,-89.616796,0.0,0.364,0.0,1159.0,24.0,2833.0,0.4921,0.5079,0.6558,0.13699999999999998,0.0904,0.0304,0.0028,11413.0,20938.0,23966.0,2018
Southern Illinois University-Carbondale,IL,Carbondale,37.714193,-89.21727299999999,0.0,0.2315,0.0,1143.0,23.0,10896.0,0.4629,0.5371,0.6509,0.1626,0.0887,0.0172,0.0028,13932.0,28107.0,27119.0,2018
Southern Illinois University-Edwardsville,IL,Edwardsville,38.793949,-89.99777900000001,0.0,0.2683,0.3746,1144.0,23.0,11339.0,0.5296,0.4704,0.7374,0.1378,0.0458,0.0202,0.0029,11493.0,24651.0,22078.0,2018
Trinity Christian College,IL,Palos Heights,41.667687,-87.783973,1.0,0.547,0.2393,1125.0,23.0,1028.0,0.6722,0.3278,0.6401,0.0837,0.1265,0.0097,0.0019,28675.0,28675.0,40208.0,2018
Trinity International University-Illinois,IL,Deerfield,42.197945000000004,-87.880851,1.0,0.4586,0.0,1129.0,24.0,750.0,0.4587,0.5413,0.544,0.1613,0.032,0.0387,0.0027,30750.0,30750.0,42606.0,2018
VanderCook College of Music,IL,Chicago,41.836833,-87.629138,1.0,0.5714,0.0,1215.0,25.0,90.0,0.4667,0.5333,0.5889,0.0333,0.2444,0.0,0.0,28434.0,28434.0,38707.0,2018
Western Illinois University,IL,Macomb,40.468086,-90.686899,0.0,0.2973,0.366,1045.0,21.0,7599.0,0.5061,0.4939,0.5897,0.2181,0.1199,0.0088,0.0012,12897.0,12897.0,24851.0,2018
Wheaton College,IL,Wheaton,41.870176,-88.099643,1.0,0.802,0.0,1356.0,30.0,2356.0,0.5463,0.4537,0.7483,0.0267,0.0565,0.0883,0.0021,35190.0,35190.0,46199.0,2018
