INSTNM,STABBR,CITY,LATITUDE,LONGITUDE,SCHTYPE,C100_4,TRANS_4,SAT_AVG,ACTCMMID,UGDS,UGDS_WOMEN,UGDS_MEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,Year
Illinois State University,IL,Normal,40.509403000000006,-88.99005799999999,0.0,0.4756,0.0,1090.0,24.0,18571.0,0.5539999999999999,0.446,0.7554,0.0841,0.1013,0.0214,0.0016,14061.0,25168.0,27421.0,2017
Judson University,IL,Elgin,42.061754,-88.291336,1.0,0.526,0.0,1020.0,22.0,1105.0,0.5882,0.4118,0.5329999999999999,0.1077,0.1665,0.0208,0.0018,28730.0,28730.0,40073.0,2017
Lewis University,IL,Romeoville,41.605432,-88.079032,1.0,0.4119,0.0,1090.0,24.0,4433.0,0.5407,0.4593,0.6212,0.0573,0.1915,0.0424,0.0007,30050.0,30050.0,37393.0,2017
Lincoln Christian University,IL,Lincoln,40.148924,-89.346721,1.0,0.4944,0.0,1007.0,22.0,446.0,0.5,0.5,0.7959999999999999,0.07400000000000001,0.0314,0.0135,0.0112,13020.0,13020.0,25542.0,2017
Lincoln College,IL,Lincoln,40.155442,-89.36153,1.0,0.0286,0.4941,823.0,17.0,995.0,0.5407,0.4593,0.4291,0.4402,0.0643,0.002,0.005,17700.0,17700.0,29402.0,2017
Loyola University Chicago,IL,Chicago,42.000765,-87.65687199999999,1.0,0.6505,0.0,1195.0,27.0,10906.0,0.6623,0.3377,0.5616,0.0525,0.1536,0.1217,0.0013,42032.0,42032.0,54324.0,2017
MacMurray College,IL,Jacksonville,39.730918,-90.223986,1.0,0.1111,0.0,946.0,20.0,551.0,0.4991,0.5009,0.755,0.1016,0.0617,0.0018,0.0,25110.0,25110.0,33625.0,2017
McKendree University,IL,Lebanon,38.608154,-89.816822,1.0,0.3612,0.0,1025.0,22.0,2220.0,0.5396,0.4604,0.6545,0.1392,0.0523,0.0086,0.0063,28740.0,28740.0,40195.0,2017
Methodist College,IL,Peoria,40.7804,-89.682864,1.0,0.1538,0.0,990.0,21.0,672.0,0.8735,0.1265,0.8274,0.0893,0.0208,0.0223,0.003,20710.0,20710.0,37703.0,2017
Millikin University,IL,Decatur,39.842612,-88.976298,1.0,0.49,0.0,1047.0,23.0,1913.0,0.5781,0.4219,0.7120000000000001,0.139,0.0638,0.0125,0.0021,31824.0,31824.0,43149.0,2017
Monmouth College,IL,Monmouth,40.914823999999996,-90.63731,1.0,0.4732,0.0,1045.0,23.0,1133.0,0.519,0.48100000000000004,0.6275,0.0971,0.1139,0.0159,0.0044,35300.0,35300.0,45005.0,2017
North Central College,IL,Naperville,41.77576,-88.14279,1.0,0.5628,0.0,1123.0,25.0,2626.0,0.5343,0.4657,0.6801,0.0381,0.1348,0.0282,0.0015,36654.0,36654.0,46799.0,2017
North Park University,IL,Chicago,41.975268,-87.709948,1.0,0.3879,0.0,993.0,21.0,2119.0,0.6262,0.3738,0.46299999999999997,0.0807,0.2407,0.0698,0.0014,27210.0,27210.0,34232.0,2017
Northern Illinois University,IL,Dekalb,41.933869,-88.766428,0.0,0.2347,0.0,1030.0,22.0,14036.0,0.4926,0.5074,0.562,0.1572,0.1673,0.0505,0.0013,14204.0,23670.0,28725.0,2017
Northwestern University,IL,Evanston,42.050356,-87.679858,1.0,0.8396,0.0,1470.0,33.0,8563.0,0.501,0.499,0.4844,0.059000000000000004,0.1248,0.1711,0.0006,50855.0,50855.0,67887.0,2017
Northeastern Illinois University,IL,Chicago,41.980399,-87.718983,0.0,0.0379,0.3996,870.0,18.0,7570.0,0.5616,0.4384,0.3058,0.1082,0.3811,0.0921,0.002,10138.0,18514.0,23097.0,2017
Olivet Nazarene University,IL,Bourbonnais,41.155237,-87.875165,1.0,0.4655,0.0,1099.0,24.0,3348.0,0.598,0.402,0.7897,0.0797,0.0747,0.0197,0.0009,33940.0,33940.0,43883.0,2017
Quincy University,IL,Quincy,39.938897999999995,-91.385975,1.0,0.3456,0.0,991.0,21.0,1081.0,0.5319,0.4681,0.7179,0.1138,0.0352,0.0148,0.0028,27128.0,27128.0,39686.0,2017
Rockford University,IL,Rockford,42.270639,-89.019536,1.0,0.3194,0.0,1011.0,22.0,1037.0,0.5863,0.4137,0.6808,0.0974,0.1379,0.0183,0.0019,29180.0,29180.0,39242.0,2017
Roosevelt University,IL,Chicago,41.876055,-87.62495200000001,1.0,0.2599,0.4657,1012.0,22.0,2710.0,0.6354,0.3646,0.4483,0.1801,0.2362,0.0539,0.0026,28119.0,28119.0,43029.0,2017
Dominican University,IL,River Forest,41.902678,-87.823003,1.0,0.4965,0.3115,1050.0,23.0,2288.0,0.6683,0.3317,0.3523,0.0708,0.4843,0.031,0.0017,31570.0,31570.0,38893.0,2017
University of St Francis,IL,Joliet,41.532225,-88.096057,1.0,0.4429,0.0,1068.0,23.0,1606.0,0.6606,0.3394,0.6488,0.0847,0.1806,0.0174,0.0031,30840.0,30840.0,39175.0,2017
Saint Xavier University,IL,Chicago,41.707198999999996,-87.714749,1.0,0.3135,0.0,1009.0,22.0,2931.0,0.6459,0.3541,0.42200000000000004,0.1273,0.3531,0.0314,0.0007,32250.0,32250.0,38260.0,2017
University of Illinois at Springfield,IL,Springfield,39.729524,-89.616796,0.0,0.3711,0.0,1067.0,23.0,2877.0,0.5092,0.4908,0.6409,0.1474,0.0806,0.0361,0.0021,11413.0,20938.0,23469.0,2017
Southern Illinois University-Carbondale,IL,Carbondale,37.714193,-89.21727299999999,0.0,0.2661,0.0,1029.0,22.0,12056.0,0.455,0.545,0.649,0.1719,0.0885,0.0169,0.0019,13481.0,27130.0,26868.0,2017
Southern Illinois University-Edwardsville,IL,Edwardsville,38.793949,-89.99777900000001,0.0,0.2572,0.3942,1068.0,23.0,11652.0,0.5297,0.4703,0.7346,0.1433,0.0427,0.0193,0.003,11008.0,23536.0,21538.0,2017
Trinity Christian College,IL,Palos Heights,41.667687,-87.783973,1.0,0.4402,0.2265,1081.0,24.0,1085.0,0.6719,0.3281,0.6516,0.0894,0.1207,0.0111,0.0028,27675.0,27675.0,39155.0,2017
Trinity International University-Illinois,IL,Deerfield,42.197945000000004,-87.880851,1.0,0.4647,0.0,1079.0,24.0,776.0,0.48200000000000004,0.518,0.6482,0.1314,0.0503,0.0399,0.0,30130.0,30130.0,41416.0,2017
VanderCook College of Music,IL,Chicago,41.836833,-87.629138,1.0,0.4118,0.3824,1050.0,23.0,103.0,0.4854,0.5146,0.5825,0.068,0.2233,0.0097,0.0,27180.0,27180.0,37471.0,2017
Western Illinois University,IL,Macomb,40.468086,-90.686899,0.0,0.3067,0.3412,970.0,21.0,8543.0,0.5094,0.4906,0.6011,0.2078,0.1162,0.0087,0.0012,12655.0,16926.0,25280.0,2017
Wheaton College,IL,Wheaton,41.870176,-88.099643,1.0,0.8223,0.0,1306.0,30.0,2432.0,0.535,0.465,0.7496,0.0271,0.0551,0.0925,0.0008,34050.0,34050.0,45154.0,2017
